A股代码,A股简称,所属行业
002401,中远海科,I 信息技术
002402,和而泰,C 制造业
002403,爱仕达,C 制造业
002404,嘉欣丝绸,C 制造业
002405,四维图新,I 信息技术
002406,远东传动,C 制造业
002407,多氟多,C 制造业
002408,齐翔腾达,C 制造业
002409,雅克科技,C 制造业
002410,广联达,I 信息技术
002412,汉森制药,C 制造业
002413,雷科防务,C 制造业
002414,高德红外,C 制造业
002415,海康威视,C 制造业
002416,爱施德,F 批发零售
002418,康盛股份,C 制造业
002419,天虹股份,F 批发零售
002420,毅昌科技,C 制造业
002421,达实智能,I 信息技术
002422,科伦药业,C 制造业
002423,中粮资本,J 金融业
002424,贵州百灵,C 制造业
002425,凯撒文化,I 信息技术
002426,胜利精密,C 制造业
002427,尤夫股份,C 制造业
002428,云南锗业,C 制造业
002429,兆驰股份,C 制造业
002430,杭氧股份,C 制造业
002431,棕榈股份,E 建筑业
002432,九安医疗,C 制造业
002433,*ST太安,C 制造业
002434,万里扬,C 制造业
002435,长江健康,C 制造业
002436,兴森科技,C 制造业
002437,誉衡药业,C 制造业
002438,江苏神通,C 制造业
002439,启明星辰,I 信息技术
002440,闰土股份,C 制造业
002441,众业达,F 批发零售
002442,龙星化工,C 制造业
002443,金洲管道,C 制造业
002444,巨星科技,C 制造业
002445,中南文化,R 文化传播
002446,盛路通信,C 制造业
002448,中原内配,C 制造业
002449,国星光电,C 制造业
002451,摩恩电气,C 制造业
002452,长高电新,C 制造业
002453,华软科技,I 信息技术
002454,松芝股份,C 制造业
002455,百川股份,C 制造业
002456,欧菲光,C 制造业
002457,青龙管业,C 制造业
002458,益生股份,A 农林牧渔
002459,晶澳科技,C 制造业
002460,赣锋锂业,C 制造业
002461,珠江啤酒,C 制造业
002462,嘉事堂,F 批发零售
002463,沪电股份,C 制造业
002465,海格通信,C 制造业
002466,天齐锂业,C 制造业
002467,二六三,I 信息技术
002468,申通快递,G 运输仓储
002469,三维化学,C 制造业
002470,金正大,C 制造业
002471,中超控股,C 制造业
002472,双环传动,C 制造业
002474,榕基软件,I 信息技术
002475,立讯精密,C 制造业
002476,宝莫股份,C 制造业
002478,常宝股份,C 制造业
002479,富春环保,D 水电煤气
002480,新筑股份,C 制造业
002481,双塔食品,C 制造业
002482,*ST广田,E 建筑业
002483,润邦股份,C 制造业
002484,江海股份,C 制造业
002485,*ST雪发,N 公共环保
002486,嘉麟杰,C 制造业
002487,大金重工,C 制造业
002488,金固股份,C 制造业
002489,浙江永强,C 制造业
002490,山东墨龙,C 制造业
002491,通鼎互联,C 制造业
002492,恒基达鑫,G 运输仓储
002493,荣盛石化,C 制造业
002494,华斯股份,C 制造业
002495,佳隆股份,C 制造业
002496,辉丰股份,C 制造业
002497,雅化集团,C 制造业
002498,汉缆股份,C 制造业
002500,山西证券,J 金融业
002501,利源股份,C 制造业
002502,ST鼎龙,R 文化传播
002505,鹏都农牧,F 批发零售
002506,协鑫集成,C 制造业
002507,涪陵榨菜,C 制造业
002508,老板电器,C 制造业
002510,天汽模,C 制造业
002511,中顺洁柔,C 制造业
002512,达华智能,C 制造业
002513,蓝丰生化,C 制造业
002514,宝馨科技,C 制造业
002515,金字火腿,C 制造业
002516,旷达科技,C 制造业
002517,恺英网络,I 信息技术
002518,科士达,C 制造业
002519,银河电子,C 制造业
002520,日发精机,C 制造业
002521,齐峰新材,C 制造业
002522,浙江众成,C 制造业
002523,天桥起重,C 制造业
002524,光正眼科,Q 卫生
002526,山东矿机,C 制造业
002527,新时达,C 制造业
002528,英飞拓,C 制造业
002529,海源复材,C 制造业
002530,金财互联,I 信息技术
002531,天顺风能,C 制造业
002532,天山铝业,C 制造业
002533,金杯电工,C 制造业
002534,西子洁能,C 制造业
002535,林州重机,C 制造业
002536,飞龙股份,C 制造业
002537,海联金汇,C 制造业
002538,司尔特,C 制造业
002539,云图控股,C 制造业
002540,亚太科技,C 制造业
002541,鸿路钢构,C 制造业
002542,中化岩土,E 建筑业
002543,万和电气,C 制造业
002544,普天科技,I 信息技术
002545,东方铁塔,C 制造业
002546,新联电子,C 制造业
002547,春兴精工,C 制造业
002548,金新农,C 制造业
002549,凯美特气,N 公共环保
002550,千红制药,C 制造业
002551,尚荣医疗,C 制造业
002552,宝鼎科技,C 制造业
002553,南方精工,C 制造业
002554,惠博普,B 采矿业
002555,三七互娱,I 信息技术
002556,辉隆股份,F 批发零售
002557,洽洽食品,C 制造业
002558,巨人网络,I 信息技术
002559,亚威股份,C 制造业
002560,通达股份,C 制造业
002561,徐家汇,F 批发零售
002562,兄弟科技,C 制造业
002563,森马服饰,C 制造业
002564,*ST天沃,E 建筑业
002565,顺灏股份,C 制造业
002566,益盛药业,C 制造业
002567,唐人神,C 制造业
002568,百润股份,C 制造业
002569,ST步森,C 制造业
002570,贝因美,C 制造业
002571,德力股份,C 制造业
002572,索菲亚,C 制造业
002573,清新环境,N 公共环保
002574,明牌珠宝,C 制造业
002575,群兴玩具,C 制造业
002576,通达动力,C 制造业
002577,雷柏科技,C 制造业
002578,闽发铝业,C 制造业
002579,中京电子,C 制造业
002580,圣阳股份,C 制造业
002581,未名医药,C 制造业
002582,好想你,C 制造业
002583,海能达,C 制造业
002584,西陇科学,C 制造业
002585,双星新材,C 制造业
002586,*ST围海,E 建筑业
002587,奥拓电子,C 制造业
002588,史丹利,C 制造业
002589,瑞康医药,F 批发零售
002590,万安科技,C 制造业
002591,恒大高新,C 制造业
002592,ST八菱,C 制造业
002593,日上集团,C 制造业
002594,比亚迪,C 制造业
002595,豪迈科技,C 制造业
002596,海南瑞泽,C 制造业
002597,金禾实业,C 制造业
002598,山东章鼓,C 制造业
002599,盛通股份,C 制造业
002600,领益智造,C 制造业
002601,龙佰集团,C 制造业
002602,世纪华通,I 信息技术
002603,以岭药业,C 制造业
002605,姚记科技,I 信息技术
002606,大连电瓷,C 制造业
002607,中公教育,P 教育
002608,江苏国信,D 水电煤气
002609,捷顺科技,I 信息技术
002610,爱康科技,C 制造业
002611,东方精工,C 制造业
002612,朗姿股份,C 制造业
002613,北玻股份,C 制造业
002614,奥佳华,C 制造业
002615,哈尔斯,C 制造业
002616,长青集团,N 公共环保
002617,露笑科技,C 制造业
002620,瑞和股份,E 建筑业
002621,美吉姆,P 教育
002622,皓宸医疗,C 制造业
002623,亚玛顿,C 制造业
002624,完美世界,I 信息技术
002625,光启技术,C 制造业
002626,金达威,C 制造业
002627,三峡旅游,G 运输仓储
002628,成都路桥,E 建筑业
002629,仁智股份,B 采矿业
002630,华西能源,C 制造业
002631,德尔未来,C 制造业
002632,道明光学,C 制造业
002633,申科股份,C 制造业
002634,棒杰股份,C 制造业
002635,安洁科技,C 制造业
002636,金安国纪,C 制造业
002637,赞宇科技,C 制造业
002638,勤上股份,C 制造业
002639,雪人股份,C 制造业
002640,跨境通,F 批发零售
002641,公元股份,C 制造业
002642,荣联科技,I 信息技术
002643,万润股份,C 制造业
002644,佛慈制药,C 制造业
002645,华宏科技,C 制造业
002646,天佑德酒,C 制造业
002647,仁东控股,J 金融业
002648,卫星化学,C 制造业
002649,博彦科技,I 信息技术
002650,加加食品,C 制造业
002651,利君股份,C 制造业
002652,扬子新材,C 制造业
002653,海思科,C 制造业
002654,万润科技,L 商务服务
002655,共达电声,C 制造业
002656,ST摩登,C 制造业
002657,中科金财,I 信息技术
002658,雪迪龙,C 制造业
002659,凯文教育,P 教育
002660,茂硕电源,C 制造业
002661,克明食品,C 制造业
002662,京威股份,C 制造业
002663,普邦股份,E 建筑业
002664,信质集团,C 制造业
002665,首航高科,C 制造业
002666,德联集团,C 制造业
002667,威领股份,C 制造业
002668,奥马电器,C 制造业
002669,康达新材,C 制造业
002670,国盛金控,J 金融业
002671,龙泉股份,C 制造业
002672,东江环保,C 制造业
002673,西部证券,J 金融业
002674,兴业科技,C 制造业
002675,东诚药业,C 制造业
002676,顺威股份,C 制造业
002677,浙江美大,C 制造业
002678,珠江钢琴,C 制造业
002679,福建金森,A 农林牧渔
002681,奋达科技,C 制造业
002682,龙洲股份,G 运输仓储
002683,广东宏大,B 采矿业
002685,华东重机,C 制造业
002686,亿利达,C 制造业
002687,乔治白,C 制造业
002688,金河生物,C 制造业
002689,远大智能,C 制造业
002690,美亚光电,C 制造业
002691,冀凯股份,C 制造业
002692,ST远程,C 制造业
002693,双成药业,C 制造业
002694,顾地科技,C 制造业
002695,煌上煌,C 制造业
002696,百洋股份,A 农林牧渔
002697,红旗连锁,F 批发零售
002698,博实股份,C 制造业
002699,*ST美盛,R 文化传播
002700,ST浩源,D 水电煤气
002701,奥瑞金,C 制造业
002702,海欣食品,C 制造业
002703,浙江世宝,C 制造业
002705,新宝股份,C 制造业
002706,良信股份,C 制造业
002707,众信旅游,L 商务服务
002708,光洋股份,C 制造业
002709,天赐材料,C 制造业
002712,思美传媒,L 商务服务
002713,东易日盛,E 建筑业
002714,牧原股份,A 农林牧渔
002715,登云股份,C 制造业
002716,金贵银业,C 制造业
002717,岭南股份,N 公共环保
002718,友邦吊顶,C 制造业
002719,麦趣尔,C 制造业
002721,*ST金一,C 制造业
002722,物产金轮,C 制造业
002723,小崧股份,C 制造业
002724,海洋王,C 制造业
002725,跃岭股份,C 制造业
002726,龙大美食,C 制造业
002727,一心堂,F 批发零售
002728,特一药业,C 制造业
002729,好利科技,C 制造业
002730,电光科技,C 制造业
002731,萃华珠宝,C 制造业
002732,燕塘乳业,C 制造业
002733,雄韬股份,C 制造业
002734,利民股份,C 制造业
002735,王子新材,C 制造业
002736,国信证券,J 金融业
002737,葵花药业,C 制造业
002738,中矿资源,C 制造业
002739,万达电影,R 文化传播
002740,*ST爱迪,C 制造业
002741,光华科技,C 制造业
002742,ST三圣,C 制造业
002743,富煌钢构,C 制造业
002745,木林森,C 制造业
002746,仙坛股份,C 制造业
002747,埃斯顿,C 制造业
002748,世龙实业,C 制造业
002749,国光股份,C 制造业
002750,龙津药业,C 制造业
002752,昇兴股份,C 制造业
002753,永东股份,C 制造业
002755,奥赛康,C 制造业
002756,永兴材料,C 制造业
002757,南兴股份,C 制造业
002758,浙农股份,F 批发零售
002759,天际股份,C 制造业
002760,凤形股份,C 制造业
002761,浙江建投,E 建筑业
002762,金发拉比,C 制造业
002763,汇洁股份,C 制造业
002765,蓝黛科技,C 制造业
002766,索菱股份,C 制造业
002767,先锋电子,C 制造业
002768,国恩股份,C 制造业
002769,普路通,L 商务服务
002771,真视通,I 信息技术
002772,众兴菌业,A 农林牧渔
002773,康弘药业,C 制造业
002774,快意电梯,C 制造业
002775,文科园林,E 建筑业
002776,*ST柏龙,M 科研服务
002777,久远银海,I 信息技术
002778,中晟高科,C 制造业
002779,中坚科技,C 制造业
002780,三夫户外,F 批发零售
002782,可立克,C 制造业
002783,凯龙股份,C 制造业
002785,万里石,C 制造业
002786,银宝山新,C 制造业
002787,华源控股,C 制造业
002788,鹭燕医药,F 批发零售
002789,建艺集团,E 建筑业
002790,瑞尔特,C 制造业
002791,坚朗五金,C 制造业
002792,通宇通讯,C 制造业
002793,罗欣药业,C 制造业
002795,永和智控,C 制造业
002796,世嘉科技,C 制造业
002797,第一创业,J 金融业
002798,帝欧家居,C 制造业
002799,环球印务,C 制造业
002800,ST天顺,G 运输仓储
002801,微光股份,C 制造业
002802,洪汇新材,C 制造业
002803,吉宏股份,I 信息技术
002805,丰元股份,C 制造业
002806,华锋股份,C 制造业
002807,江阴银行,J 金融业
002808,ST恒久,C 制造业
002809,红墙股份,C 制造业
002810,山东赫达,C 制造业
002811,郑中设计,E 建筑业
002812,恩捷股份,C 制造业
002813,路畅科技,C 制造业
002815,崇达技术,C 制造业
002816,*ST和科,C 制造业
002817,黄山胶囊,C 制造业
002818,富森美,L 商务服务
002819,东方中科,F 批发零售
002820,桂发祥,C 制造业
002821,凯莱英,C 制造业
002822,中装建设,E 建筑业
002823,凯中精密,C 制造业
002824,和胜股份,C 制造业
002825,纳尔股份,C 制造业
002826,易明医药,C 制造业
002827,高争民爆,C 制造业
002828,贝肯能源,B 采矿业
002829,星网宇达,C 制造业
002830,名雕股份,E 建筑业
002831,裕同科技,C 制造业
002832,比音勒芬,C 制造业
002833,弘亚数控,C 制造业
002835,同为股份,C 制造业
002836,新宏泽,C 制造业
002837,英维克,C 制造业
002838,道恩股份,C 制造业
002839,张家港行,J 金融业
002840,华统股份,C 制造业
002841,视源股份,C 制造业
002842,翔鹭钨业,C 制造业
002843,泰嘉股份,C 制造业
002845,同兴达,C 制造业
002846,英联股份,C 制造业
002847,盐津铺子,C 制造业
002848,高斯贝尔,C 制造业
002849,威星智能,C 制造业
002850,科达利,C 制造业
002851,麦格米特,C 制造业
002852,道道全,C 制造业
002853,皮阿诺,C 制造业
002855,捷荣技术,C 制造业
002856,美芝股份,E 建筑业
002857,三晖电气,C 制造业
002858,力盛体育,R 文化传播
002859,洁美科技,C 制造业
002860,星帅尔,C 制造业
002861,瀛通通讯,C 制造业
002862,实丰文化,C 制造业
002863,今飞凯达,C 制造业
002864,盘龙药业,C 制造业
002865,钧达股份,C 制造业
002866,传艺科技,C 制造业
002867,周大生,C 制造业
002868,绿康生化,C 制造业
002869,金溢科技,C 制造业
002870,香山股份,C 制造业
002871,伟隆股份,C 制造业
002872,ST天圣,F 批发零售
002873,新天药业,C 制造业
002875,安奈儿,C 制造业
002876,三利谱,C 制造业
002877,智能自控,C 制造业
002878,元隆雅图,L 商务服务
002879,长缆科技,C 制造业
002880,卫光生物,C 制造业
002881,美格智能,C 制造业
002882,金龙羽,C 制造业
002883,中设股份,M 科研服务
002884,凌霄泵业,C 制造业
002885,京泉华,C 制造业
002886,沃特股份,C 制造业
002887,绿茵生态,N 公共环保
002888,惠威科技,C 制造业
002889,东方嘉盛,L 商务服务
002890,弘宇股份,C 制造业
002891,中宠股份,C 制造业
002892,科力尔,C 制造业
002893,京能热力,D 水电煤气
002895,川恒股份,C 制造业
002896,中大力德,C 制造业
002897,意华股份,C 制造业
002898,赛隆药业,C 制造业
002899,英派斯,C 制造业
002900,哈三联,C 制造业
002901,大博医疗,C 制造业
002902,铭普光磁,C 制造业
002903,宇环数控,C 制造业
002905,金逸影视,R 文化传播
002906,华阳集团,C 制造业
002907,华森制药,C 制造业
002908,德生科技,I 信息技术
002909,集泰股份,C 制造业
002910,庄园牧场,C 制造业
002911,佛燃能源,D 水电煤气
002912,中新赛克,I 信息技术
002913,奥士康,C 制造业
002915,中欣氟材,C 制造业
002916,深南电路,C 制造业
002917,金奥博,C 制造业
002918,蒙娜丽莎,C 制造业
002919,名臣健康,C 制造业
002920,德赛西威,C 制造业
002921,联诚精密,C 制造业
002922,伊戈尔,C 制造业
002923,润都股份,C 制造业
002925,盈趣科技,C 制造业
002926,华西证券,J 金融业
002927,泰永长征,C 制造业
002928,华夏航空,G 运输仓储
002929,润建股份,I 信息技术
002930,宏川智慧,G 运输仓储
002931,锋龙股份,C 制造业
002932,明德生物,C 制造业
002933,新兴装备,C 制造业
002935,天奥电子,C 制造业
002936,郑州银行,J 金融业
002937,兴瑞科技,C 制造业
002938,鹏鼎控股,C 制造业
002939,长城证券,J 金融业
002940,昂利康,C 制造业
002941,新疆交建,E 建筑业
002942,新农股份,C 制造业
002943,宇晶股份,C 制造业
002945,华林证券,J 金融业
002946,新乳业,C 制造业
002947,恒铭达,C 制造业
002948,青岛银行,J 金融业
002949,华阳国际,M 科研服务
002950,奥美医疗,C 制造业
002951,ST金时,C 制造业
002952,亚世光电,C 制造业
002953,日丰股份,C 制造业
002955,鸿合科技,C 制造业
002956,西麦食品,C 制造业
002957,科瑞技术,C 制造业
002958,青农商行,J 金融业
002959,小熊电器,C 制造业
002960,青鸟消防,C 制造业
002961,瑞达期货,J 金融业
002962,五方光电,C 制造业
002963,豪尔赛,E 建筑业
002965,祥鑫科技,C 制造业
002966,苏州银行,J 金融业
002967,广电计量,M 科研服务
002968,新大正,K 房地产
002969,嘉美包装,C 制造业
002970,锐明技术,I 信息技术
002971,和远气体,C 制造业
002972,科安达,C 制造业
002973,侨银股份,N 公共环保
002975,博杰股份,C 制造业
002976,瑞玛精密,C 制造业
002977,天箭科技,C 制造业
002978,安宁股份,B 采矿业
002979,雷赛智能,C 制造业
002980,华盛昌,C 制造业
002981,朝阳科技,C 制造业
002982,湘佳股份,A 农林牧渔
002983,芯瑞达,C 制造业
002984,森麒麟,C 制造业
002985,北摩高科,C 制造业
002986,宇新股份,C 制造业
002987,京北方,I 信息技术
002988,豪美新材,C 制造业
002989,中天精装,E 建筑业
002990,盛视科技,I 信息技术
002991,甘源食品,C 制造业
002992,宝明科技,C 制造业
002993,奥海科技,C 制造业
002995,天地在线,I 信息技术
002996,顺博合金,C 制造业
002997,瑞鹄模具,C 制造业
002998,优彩资源,C 制造业
002999,天禾股份,F 批发零售
003000,劲仔食品,C 制造业
003001,中岩大地,E 建筑业
003002,壶化股份,C 制造业
003003,天元股份,C 制造业
003004,声迅股份,I 信息技术
003005,竞业达,I 信息技术
003006,百亚股份,C 制造业
003007,直真科技,I 信息技术
003008,开普检测,M 科研服务
003009,中天火箭,C 制造业
003010,若羽臣,I 信息技术
003011,海象新材,C 制造业
003012,东鹏控股,C 制造业
003013,地铁设计,M 科研服务
003015,日久光电,C 制造业
003016,欣贺股份,C 制造业
003017,大洋生物,C 制造业
003018,金富科技,C 制造业
003019,宸展光电,C 制造业
003020,立方制药,F 批发零售
003021,兆威机电,C 制造业
003022,联泓新科,C 制造业
003023,彩虹集团,C 制造业
003025,思进智能,C 制造业
003026,中晶科技,C 制造业
003027,同兴环保,N 公共环保
003028,振邦智能,C 制造业
003029,吉大正元,I 信息技术
003030,祖名股份,C 制造业
003031,中瓷电子,C 制造业
003032,传智教育,P 教育
003033,征和工业,C 制造业
003035,南网能源,M 科研服务
003036,泰坦股份,C 制造业
003037,三和管桩,C 制造业
003038,鑫铂股份,C 制造业
003039,顺控发展,D 水电煤气
003040,楚天龙,C 制造业
003041,真爱美家,C 制造业
003042,中农联合,C 制造业
003043,华亚智能,C 制造业
003816,中国广核,D 水电煤气
300001,特锐德,C 制造业
300002,神州泰岳,I 信息技术
300003,乐普医疗,C 制造业
300004,南风股份,C 制造业
300005,探路者,C 制造业
300006,莱美药业,C 制造业
300007,汉威科技,C 制造业
300008,天海防务,E 建筑业
300009,安科生物,C 制造业
300010,*ST豆神,I 信息技术
300011,鼎汉技术,C 制造业
300012,华测检测,M 科研服务
300013,新宁物流,G 运输仓储
300014,亿纬锂能,C 制造业
300015,爱尔眼科,Q 卫生
300016,北陆药业,C 制造业
300017,网宿科技,I 信息技术
300018,中元股份,C 制造业
300019,硅宝科技,C 制造业
300020,银江技术,I 信息技术
300021,大禹节水,C 制造业
300022,吉峰科技,F 批发零售
300024,机器人,C 制造业
300025,华星创业,I 信息技术
300026,红日药业,C 制造业
300027,华谊兄弟,R 文化传播
300029,ST天龙,C 制造业
300030,阳普医疗,C 制造业
300031,宝通科技,I 信息技术
300032,金龙机电,C 制造业
300033,同花顺,J 金融业
300034,钢研高纳,C 制造业
300035,中科电气,C 制造业
300036,超图软件,I 信息技术
300037,新宙邦,C 制造业
300039,上海凯宝,C 制造业
300040,九洲集团,C 制造业
300041,回天新材,C 制造业
300042,朗科科技,C 制造业
300043,星辉娱乐,I 信息技术
300044,赛为智能,I 信息技术
300045,华力创通,C 制造业
300046,台基股份,C 制造业
300047,天源迪科,I 信息技术
300048,合康新能,C 制造业
300049,福瑞股份,C 制造业
300050,世纪鼎利,I 信息技术
300051,琏升科技,I 信息技术
300052,中青宝,I 信息技术
300053,航宇微,C 制造业
300054,鼎龙股份,C 制造业
300055,万邦达,E 建筑业
300056,中创环保,C 制造业
300057,万顺新材,C 制造业
300058,蓝色光标,L 商务服务
300059,东方财富,J 金融业
300061,旗天科技,L 商务服务
300062,中能电气,C 制造业
300063,天龙集团,L 商务服务
300065,海兰信,C 制造业
300066,三川智慧,C 制造业
300067,安诺其,C 制造业
300068,南都电源,C 制造业
300069,金利华电,C 制造业
300070,碧水源,N 公共环保
300071,福石控股,L 商务服务
300072,海新能科,C 制造业
300073,当升科技,C 制造业
300074,华平股份,I 信息技术
300075,数字政通,I 信息技术
300076,GQY视讯,C 制造业
300077,国民技术,C 制造业
300078,思创医惠,C 制造业
300079,数码视讯,C 制造业
300080,易成新能,C 制造业
300081,恒信东方,M 科研服务
300082,奥克股份,C 制造业
300083,创世纪,C 制造业
300084,海默科技,B 采矿业
300085,银之杰,I 信息技术
300086,康芝药业,C 制造业
300087,荃银高科,A 农林牧渔
300088,长信科技,C 制造业
300091,金通灵,C 制造业
300092,科新机电,C 制造业
300093,金刚光伏,C 制造业
300094,国联水产,C 制造业
300095,华伍股份,C 制造业
300096,易联众,I 信息技术
300097,智云股份,C 制造业
300098,高新兴,I 信息技术
300099,精准信息,C 制造业
300100,双林股份,C 制造业
300101,振芯科技,C 制造业
300102,乾照光电,C 制造业
300103,达刚控股,N 公共环保
300105,龙源技术,C 制造业
300106,西部牧业,A 农林牧渔
300107,建新股份,C 制造业
300108,*ST吉药,C 制造业
300109,新开源,C 制造业
300110,华仁药业,C 制造业
300111,向日葵,C 制造业
300112,万讯自控,C 制造业
300113,顺网科技,I 信息技术
300114,中航电测,C 制造业
300115,长盈精密,C 制造业
300116,保力新,C 制造业
300117,嘉寓股份,E 建筑业
300118,东方日升,C 制造业
300119,瑞普生物,C 制造业
300120,经纬辉开,C 制造业
300121,阳谷华泰,C 制造业
300122,智飞生物,C 制造业
300123,亚光科技,C 制造业
300124,汇川技术,C 制造业
300125,聆达股份,C 制造业
300126,锐奇股份,C 制造业
300127,银河磁体,C 制造业
300128,锦富技术,C 制造业
300129,泰胜风能,C 制造业
300130,新国都,C 制造业
300131,英唐智控,F 批发零售
300132,青松股份,C 制造业
300133,华策影视,R 文化传播
300134,大富科技,C 制造业
300135,宝利国际,C 制造业
300136,信维通信,C 制造业
300137,先河环保,C 制造业
300138,晨光生物,C 制造业
300139,晓程科技,C 制造业
300140,节能环境,C 制造业
300141,和顺电气,C 制造业
300142,沃森生物,C 制造业
300143,盈康生命,Q 卫生
300144,宋城演艺,R 文化传播
300145,中金环境,C 制造业
300146,汤臣倍健,C 制造业
300147,香雪制药,C 制造业
300148,天舟文化,I 信息技术
300149,睿智医药,M 科研服务
300150,世纪瑞尔,I 信息技术
300151,昌红科技,C 制造业
300152,新动力,N 公共环保
300153,科泰电源,C 制造业
300154,瑞凌股份,C 制造业
300155,安居宝,C 制造业
300157,新锦动力,B 采矿业
300158,振东制药,C 制造业
300159,新研股份,C 制造业
300160,秀强股份,C 制造业
300161,华中数控,C 制造业
300162,雷曼光电,C 制造业
300163,先锋新材,C 制造业
300164,通源石油,B 采矿业
300165,天瑞仪器,C 制造业
300166,东方国信,I 信息技术
300167,ST迪威迅,I 信息技术
300168,万达信息,I 信息技术
300169,天晟新材,C 制造业
300170,汉得信息,I 信息技术
300171,东富龙,C 制造业
300172,中电环保,N 公共环保
300173,福能东方,C 制造业
300174,元力股份,C 制造业
300175,朗源股份,C 制造业
300176,派生科技,C 制造业
300177,中海达,C 制造业
300179,四方达,C 制造业
300180,华峰超纤,C 制造业
300181,佐力药业,C 制造业
300182,捷成股份,R 文化传播
300183,东软载波,I 信息技术
300184,力源信息,F 批发零售
300185,通裕重工,C 制造业
300187,永清环保,N 公共环保
300188,美亚柏科,I 信息技术
300189,神农科技,A 农林牧渔
300190,维尔利,N 公共环保
300191,潜能恒信,B 采矿业
300192,科德教育,P 教育
300193,佳士科技,C 制造业
300194,福安药业,C 制造业
300195,长荣股份,C 制造业
300196,长海股份,C 制造业
300197,节能铁汉,N 公共环保
300198,纳川股份,C 制造业
300199,翰宇药业,C 制造业
300200,高盟新材,C 制造业
300201,海伦哲,C 制造业
300203,聚光科技,C 制造业
300204,舒泰神,C 制造业
300205,天喻信息,C 制造业
300206,理邦仪器,C 制造业
300207,欣旺达,C 制造业
300208,青岛中程,C 制造业
300209,ST有棵树,F 批发零售
300210,森远股份,C 制造业
300211,亿通科技,C 制造业
300212,易华录,I 信息技术
300213,佳讯飞鸿,C 制造业
300214,日科化学,C 制造业
300215,电科院,M 科研服务
300217,东方电热,C 制造业
300218,安利股份,C 制造业
300219,鸿利智汇,C 制造业
300220,ST金运,C 制造业
300221,银禧科技,C 制造业
300222,科大智能,C 制造业
300223,北京君正,C 制造业
300224,正海磁材,C 制造业
300225,金力泰,C 制造业
300226,上海钢联,I 信息技术
300227,光韵达,C 制造业
300228,富瑞特装,C 制造业
300229,拓尔思,I 信息技术
300230,永利股份,C 制造业
300231,银信科技,I 信息技术
300232,洲明科技,C 制造业
300233,金城医药,C 制造业
300234,开尔新材,C 制造业
300235,方直科技,I 信息技术
300236,上海新阳,C 制造业
300237,美晨生态,E 建筑业
300238,冠昊生物,C 制造业
300239,东宝生物,C 制造业
300240,飞力达,G 运输仓储
300241,瑞丰光电,C 制造业
300242,佳云科技,I 信息技术
300243,瑞丰高材,C 制造业
300244,迪安诊断,Q 卫生
300245,天玑科技,I 信息技术
300246,宝莱特,C 制造业
300247,融捷健康,C 制造业
300248,新开普,I 信息技术
300249,依米康,I 信息技术
300250,初灵信息,I 信息技术
300251,光线传媒,R 文化传播
300252,金信诺,C 制造业
300253,卫宁健康,I 信息技术
300254,仟源医药,C 制造业
300255,常山药业,C 制造业
300256,星星科技,C 制造业
300257,开山股份,C 制造业
300258,精锻科技,C 制造业
300259,新天科技,C 制造业
300260,新莱应材,C 制造业
300261,雅本化学,C 制造业
300262,巴安水务,N 公共环保
300263,隆华科技,C 制造业
300264,佳创视讯,I 信息技术
300265,通光线缆,C 制造业
300266,兴源环境,N 公共环保
300267,尔康制药,C 制造业
300268,*ST佳沃,C 制造业
300269,联建光电,L 商务服务
300270,中威电子,C 制造业
300271,华宇软件,I 信息技术
300272,开能健康,C 制造业
300274,阳光电源,C 制造业
300275,梅安森,I 信息技术
300276,三丰智能,C 制造业
300277,海联讯,I 信息技术
300278,华昌达,C 制造业
300279,和晶科技,C 制造业
300280,紫天科技,L 商务服务
300281,金明精机,C 制造业
300282,*ST三盛,C 制造业
300283,温州宏丰,C 制造业
300284,苏交科,M 科研服务
300285,国瓷材料,C 制造业
300286,安科瑞,C 制造业
300287,飞利信,I 信息技术
300288,朗玛信息,I 信息技术
300289,利德曼,C 制造业
300290,荣科科技,I 信息技术
300291,百纳千成,R 文化传播
300292,吴通控股,I 信息技术
300293,蓝英装备,C 制造业
300294,博雅生物,C 制造业
300295,三六五网,I 信息技术
300296,利亚德,C 制造业
300298,三诺生物,C 制造业
300299,富春股份,I 信息技术
300300,海峡创新,I 信息技术
300301,*ST长方,C 制造业
300302,同有科技,I 信息技术
300303,聚飞光电,C 制造业
300304,云意电气,C 制造业
300305,裕兴股份,C 制造业
300306,远方信息,C 制造业
300307,慈星股份,C 制造业
300308,中际旭创,C 制造业
300310,宜通世纪,I 信息技术
300311,任子行,I 信息技术
300313,*ST天山,A 农林牧渔
300314,戴维医疗,C 制造业
300315,掌趣科技,I 信息技术
300316,晶盛机电,C 制造业
300317,珈伟新能,C 制造业
300318,博晖创新,C 制造业
300319,麦捷科技,C 制造业
300320,海达股份,C 制造业
300321,同大股份,C 制造业
300322,硕贝德,C 制造业
300323,华灿光电,C 制造业
300324,旋极信息,I 信息技术
300326,凯利泰,C 制造业
300327,中颖电子,C 制造业
300328,宜安科技,C 制造业
300329,海伦钢琴,C 制造业
300331,苏大维格,C 制造业
300332,天壕能源,D 水电煤气
300333,兆日科技,I 信息技术
300334,津膜科技,C 制造业
300335,迪森股份,D 水电煤气
300337,银邦股份,C 制造业
300338,开元教育,P 教育
300339,润和软件,I 信息技术
300340,科恒股份,C 制造业
300341,麦克奥迪,C 制造业
300342,天银机电,C 制造业
300343,联创股份,C 制造业
