A股代码,A股简称,所属行业
000657,中钨高新,C 制造业
000659,珠海中富,C 制造业
000661,长春高新,C 制造业
000663,永安林业,C 制造业
000665,湖北广电,R 文化传播
000666,经纬纺机,J 金融业
000668,荣丰控股,K 房地产
000669,ST金鸿,D 水电煤气
000670,盈方微,C 制造业
000672,上峰水泥,C 制造业
000676,智度股份,I 信息技术
000677,恒天海龙,C 制造业
000678,襄阳轴承,C 制造业
000679,大连友谊,F 批发零售
000680,山推股份,C 制造业
000681,视觉中国,R 文化传播
000682,东方电子,I 信息技术
000683,远兴能源,C 制造业
000685,中山公用,D 水电煤气
000686,东北证券,J 金融业
000688,国城矿业,B 采矿业
000690,宝新能源,D 水电煤气
000691,亚太实业,C 制造业
000692,*ST惠天,D 水电煤气
000695,滨海能源,C 制造业
000697,*ST炼石,C 制造业
000698,沈阳化工,C 制造业
000700,模塑科技,C 制造业
000701,厦门信达,F 批发零售
000702,正虹科技,C 制造业
000703,恒逸石化,C 制造业
000705,浙江震元,F 批发零售
000707,双环科技,C 制造业
000708,中信特钢,C 制造业
000709,河钢股份,C 制造业
000710,贝瑞基因,M 科研服务
000711,*ST京蓝,E 建筑业
000712,锦龙股份,J 金融业
000713,丰乐种业,A 农林牧渔
000715,中兴商业,F 批发零售
000716,黑芝麻,C 制造业
000717,中南股份,C 制造业
000718,苏宁环球,K 房地产
000719,中原传媒,R 文化传播
000720,新能泰山,K 房地产
000721,西安饮食,H 住宿餐饮
000722,湖南发展,D 水电煤气
000723,美锦能源,C 制造业
000725,京东方Ａ,C 制造业
000726,鲁  泰Ａ,C 制造业
000727,冠捷科技,C 制造业
000728,国元证券,J 金融业
000729,燕京啤酒,C 制造业
000731,四川美丰,C 制造业
000733,振华科技,C 制造业
000735,罗 牛 山,A 农林牧渔
000736,中交地产,K 房地产
000737,北方铜业,C 制造业
000738,航发控制,C 制造业
000739,普洛药业,C 制造业
000750,国海证券,J 金融业
000751,锌业股份,C 制造业
000752,*ST西发,C 制造业
000753,漳州发展,F 批发零售
000755,山西路桥,G 运输仓储
000756,新华制药,C 制造业
000757,浩物股份,F 批发零售
000758,中色股份,B 采矿业
000759,中百集团,F 批发零售
000761,本钢板材,C 制造业
000762,西藏矿业,B 采矿业
000766,通化金马,C 制造业
000767,晋控电力,D 水电煤气
000768,中航西飞,C 制造业
000776,广发证券,J 金融业
000777,中核科技,C 制造业
000778,新兴铸管,C 制造业
000779,甘咨询,M 科研服务
000782,美达股份,C 制造业
000783,长江证券,J 金融业
000785,居然之家,L 商务服务
000786,北新建材,C 制造业
000788,北大医药,C 制造业
000789,万年青,C 制造业
000790,华神科技,C 制造业
000791,甘肃能源,D 水电煤气
000792,盐湖股份,C 制造业
000793,华闻集团,R 文化传播
000795,英洛华,C 制造业
000796,*ST凯撒,L 商务服务
000797,中国武夷,K 房地产
000798,中水渔业,A 农林牧渔
000799,酒鬼酒,C 制造业
000800,一汽解放,C 制造业
000801,四川九洲,C 制造业
000802,北京文化,R 文化传播
000803,山高环能,N 公共环保
000807,云铝股份,C 制造业
000809,铁岭新城,N 公共环保
000810,创维数字,C 制造业
000811,冰轮环境,C 制造业
000812,陕西金叶,C 制造业
000813,德展健康,C 制造业
000815,美利云,C 制造业
000816,智慧农业,C 制造业
000818,航锦科技,C 制造业
000819,岳阳兴长,C 制造业
000820,神雾节能,C 制造业
000821,京山轻机,C 制造业
000822,山东海化,C 制造业
000823,超声电子,C 制造业
000825,太钢不锈,C 制造业
000826,启迪环境,N 公共环保
000828,东莞控股,G 运输仓储
000829,天音控股,F 批发零售
000830,鲁西化工,C 制造业
000831,中国稀土,C 制造业
000833,粤桂股份,S 综合
000836,富通信息,C 制造业
000837,秦川机床,C 制造业
000838,财信发展,K 房地产
000839,ST国安,I 信息技术
000848,承德露露,C 制造业
000850,华茂股份,C 制造业
000851,高鸿股份,F 批发零售
000852,石化机械,C 制造业
000856,冀东装备,C 制造业
000858,五 粮 液,C 制造业
000859,国风新材,C 制造业
000860,顺鑫农业,C 制造业
000861,海印股份,L 商务服务
000862,银星能源,D 水电煤气
000863,三湘印象,K 房地产
000868,安凯客车,C 制造业
000869,张  裕Ａ,C 制造业
000875,吉电股份,D 水电煤气
000876,新 希 望,C 制造业
000877,天山股份,C 制造业
000878,云南铜业,C 制造业
000880,潍柴重机,C 制造业
000881,中广核技,C 制造业
000882,华联股份,L 商务服务
000883,湖北能源,D 水电煤气
000885,城发环境,G 运输仓储
000886,海南高速,K 房地产
000887,中鼎股份,C 制造业
000888,峨眉山Ａ,N 公共环保
000889,ST中嘉,I 信息技术
000890,法尔胜,C 制造业
000892,欢瑞世纪,R 文化传播
000893,亚钾国际,C 制造业
000895,双汇发展,C 制造业
000897,津滨发展,K 房地产
000898,鞍钢股份,C 制造业
000899,赣能股份,D 水电煤气
000900,现代投资,G 运输仓储
000901,航天科技,C 制造业
000902,新洋丰,C 制造业
000903,云内动力,C 制造业
000905,厦门港务,G 运输仓储
000906,浙商中拓,F 批发零售
000908,景峰医药,C 制造业
000909,ST数源,K 房地产
000910,大亚圣象,C 制造业
000911,南宁糖业,C 制造业
000912,泸天化,C 制造业
000913,钱江摩托,C 制造业
000915,华特达因,C 制造业
000917,电广传媒,I 信息技术
000919,金陵药业,C 制造业
000920,沃顿科技,C 制造业
000921,海信家电,C 制造业
000922,佳电股份,C 制造业
000923,河钢资源,B 采矿业
000925,众合科技,C 制造业
000926,福星股份,K 房地产
000927,中国铁物,F 批发零售
000928,中钢国际,E 建筑业
000929,兰州黄河,C 制造业
000930,中粮科技,C 制造业
000931,中 关 村,C 制造业
000932,华菱钢铁,C 制造业
000933,神火股份,C 制造业
000935,四川双马,C 制造业
000936,华西股份,C 制造业
000937,冀中能源,B 采矿业
000938,紫光股份,C 制造业
000948,南天信息,I 信息技术
000949,新乡化纤,C 制造业
000950,重药控股,F 批发零售
000951,中国重汽,C 制造业
000952,广济药业,C 制造业
000953,河化股份,C 制造业
000955,欣龙控股,C 制造业
000957,中通客车,C 制造业
000958,电投产融,J 金融业
000959,首钢股份,C 制造业
000960,锡业股份,C 制造业
000961,中南建设,K 房地产
000962,东方钽业,C 制造业
000963,华东医药,F 批发零售
000965,天保基建,K 房地产
000966,长源电力,D 水电煤气
000967,盈峰环境,N 公共环保
000968,蓝焰控股,B 采矿业
000969,安泰科技,C 制造业
000970,中科三环,C 制造业
000971,ST高升,I 信息技术
000972,中基健康,C 制造业
000973,佛塑科技,C 制造业
000975,银泰黄金,B 采矿业
000976,ST华铁,C 制造业
000977,浪潮信息,C 制造业
000978,桂林旅游,N 公共环保
